SN,MOVIE_NM,MNG_NM,MAKR_NM,IMPORT_CMPNY_NM,DISTB_CMPNY_NM,OPEN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,WNTY_SCREEN_CO,WNTY_SELNG_AM,WNTY_AUDE_CO,SU_SELNG_AM,SU_AUDE_CO,GENRE_NM,GRAD_NM,MOVIE_SE
1,분노의 질주: 더 얼티메이트,저스틴 린,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20210519,개봉영화,장편,미국,2296,17268076580,1790155,4197011990,423112,액션,12세이상관람가,일반영화
2,크루엘라,크레이그 질레스피,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20210526,개봉영화,장편,미국,1184,3038945310,330181,1093877910,116446,드라마,12세이상관람가,일반영화
3,비와 당신의 이야기,조진모,(주)아지트필름,,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티",20210428,개봉영화,장편,한국,957,2945572300,314849,952021490,105204,드라마,전체관람가,일반영화
4,더 스파이,도미닉 쿡,,(유)조이앤시네마,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",20210428,개봉영화,장편,미국,710,2329329840,245413,820905090,85381,스릴러,15세이상관람가,일반영화
5,크루즈 패밀리: 뉴 에이지,조엘 크로포드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20210505,개봉영화,장편,미국,1082,1957213560,222109,428052040,46660,애니메이션,전체관람가,일반영화
6,극장판 귀멸의 칼날: 무한열차편,소토자키 하루오,,에스엠지홀딩스 주식회사,워터홀컴퍼니(주),20210127,개봉영화,장편,일본,380,2044649290,209972,449049950,45398,애니메이션,15세이상관람가,일반영화
7,미나리,정이삭,,판씨네마(주),판씨네마(주),20210303,개봉영화,장편,미국,1162,1299467860,143926,456133820,50271,드라마,12세이상관람가,독립/예술영화
8,스파이럴,대런 린 보우즈만,,(주)올스타엔터테인먼트,(주)올스타엔터테인먼트,20210512,개봉영화,장편,헝가리,691,1278892690,128928,385959390,38500,스릴러,청소년관람불가,일반영화
9,내일의 기억,서유민,"(주)아이필름코퍼레이션,(주)토리픽쳐스",,"(주)아이필름코퍼레이션,씨제이 씨지브이(CJ CGV)(주)",20210421,개봉영화,장편,한국,957,1232214520,125712,246713000,24829,미스터리,15세이상관람가,일반영화
10,파이프라인,유하,(주)곰픽쳐스,,"메가박스중앙(주)플러스엠,(주)리틀빅픽쳐스",20210526,개봉영화,장편,한국,777,839827490,96293,227396030,26416,범죄,15세이상관람가,일반영화
11,명탐정 코난: 비색의 탄환,나가오카 치카,,,(주)씨제이이엔엠,20210416,개봉영화,장편,일본,844,717693410,76885,166334430,17210,애니메이션,12세이상관람가,일반영화
12,극장판 콩순이: 장난감나라 대모험,이선명,(주)모꼬지,,(주)넥스트엔터테인먼트월드(NEW),20210505,개봉영화,장편,한국,690,653801130,74592,112841710,12539,애니메이션,전체관람가,일반영화
13,도라에몽: 스탠바이미 2,야기 류이치,,대원미디어(주),(주)스마일이엔티,20210519,개봉영화,장편,일본,631,644299040,73914,123503460,13693,애니메이션,전체관람가,일반영화
14,내가 죽기를 바라는 자들,테일러 쉐리던,,워너브러더스 코리아(주),워너브러더스 코리아(주),20210505,개봉영화,장편,미국,669,511060350,54949,138693360,14877,범죄,15세이상관람가,일반영화
15,노매드랜드,클로이 자오,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20210415,개봉영화,장편,미국,181,353578540,37382,220131140,23114,드라마,12세이상관람가,일반영화
16,극장판 바다 탐험대 옥토넛 : 불의 고리 대폭발,,,"(주)얼리버드픽쳐스,와이드 릴리즈(주)",주식회사 컨텐츠썬,20210428,개봉영화,장편,영국,183,220196200,26723,46779500,5438,애니메이션,전체관람가,일반영화
17,아들의 이름으로,이정국,영화사 혼,,(주)엣나인필름,20210512,개봉영화,장편,한국,423,202838760,23431,67224280,7528,드라마,12세이상관람가,독립/예술영화
18,내겐 너무 소중한 너,"이창원,권성모",(주)파인스토리,,(주)파인스토리,20210512,개봉영화,장편,한국,449,199479620,22342,44281670,4765,드라마,12세이상관람가,독립/예술영화
19,아이들은 즐겁다,이지원,(주)영화사울림,,"메가박스중앙(주)플러스엠,(주)영화사울림",20210505,개봉영화,장편,한국,445,155307470,18163,48878060,5986,드라마,전체관람가,독립/예술영화
20,서복,이용주,"(주)씨제이이엔엠,(주)티피에스컴퍼니",,(주)씨제이이엔엠,20210415,개봉영화,장편,한국,1382,172229430,17639,44836940,4466,드라마,15세이상관람가,일반영화
21,마크맨,로버트 로렌즈,,(주)퍼스트런,(주)디스테이션,20210428,개봉영화,장편,미국,210,134511900,16849,36422100,4889,액션,15세이상관람가,일반영화
22,보이저스,닐 버거,,(유)조이앤시네마,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",20210526,개봉영화,장편,미국,387,116826460,14189,43328270,5238,SF,15세이상관람가,일반영화
23,학교 가는 길,김정인,(주)마로스튜디오,,(주)영화사 진진,20210505,개봉영화,장편,한국,90,103762710,13530,65540710,8169,다큐멘터리,12세이상관람가,독립/예술영화
24,굴뚝마을의 푸펠,,,(주)미디어캐슬,"(주)리틀빅픽쳐스,(주)레드로버",20210526,개봉영화,장편,일본,250,110583510,12815,34726610,4035,애니메이션,전체관람가,일반영화
25,베르테르,조광하,(주)씨제이이엔엠,,CGV ICECON,20210505,개봉영화,장편,한국,68,223809000,12646,81065500,4585,뮤지컬,12세이상관람가,일반영화
26,혼자 사는 사람들,홍성은,한국영화아카데미,,주식회사 더쿱,20210519,개봉영화,장편,한국,159,93992500,10517,52783410,5822,드라마,12세이상관람가,독립/예술영화
27,자산어보,이준익,(주)씨네월드,,메가박스중앙(주)플러스엠,20210331,개봉영화,장편,한국,1250,74117600,8673,33892440,4002,사극,12세이상관람가,일반영화
28,슈퍼노바,,,찬란,(주)디스테이션,20210512,개봉영화,장편,영국,184,71787740,8512,38975090,4573,드라마,15세이상관람가,독립/예술영화
29,더 파더,플로리안 젤러,,판씨네마(주),판씨네마(주),20210407,개봉영화,장편,영국,348,70050660,8309,45562410,5154,드라마,12세이상관람가,독립/예술영화
30,링: 더 라스트 챕터,츠루타 노리오,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,20210512,개봉영화,장편,중국,85,67491970,7331,10924870,1076,미스터리,15세이상관람가,독립/예술영화
31,"좋은 빛, 좋은 공기",임흥순,반달,,(주)엣나인필름,20210428,개봉영화,장편,한국,62,49031520,7172,29951210,4247,다큐멘터리,12세이상관람가,독립/예술영화
32,부활: 그 증거,김상철,파이오니아21,,(주)영화사 진진,20201008,개봉영화,장편,한국,111,46544000,5296,5940000,790,다큐멘터리,전체관람가,독립/예술영화
33,애플,크리스토스 니코우,,주식회사 모쿠슈라픽쳐스,(주)다자인소프트,20210526,개봉영화,장편,기타,85,35802060,4759,23447300,2911,드라마,12세이상관람가,독립/예술영화
34,미스,,,(주)월드시네마,"예지림엔터테인먼트,주식회사 더쿱",20210512,개봉영화,장편,프랑스,105,35850730,4362,14880240,1840,코미디,15세이상관람가,독립/예술영화
